epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/kpt_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/kpt_loss,lr/pg0,lr/pg1,lr/pg2
38,2557.26,0.26934,0.12085,0.12163,0.0026,0.04355,1.22867,0.99763,1,0.995,0.31118,0.99763,1,0.995,0.995,2.53212,0.16438,1.15513,0.04438,0,0.19819,0.0012674,0.0012674,0.0012674
39,2624.23,0.26175,0.12505,0.12009,0.00248,0.03725,1.17453,1,0.99975,0.995,0.2712,1,0.99975,0.995,0.995,2.62579,0.15733,1.08549,0.04609,0,0.10591,0.0012476,0.0012476,0.0012476
40,2690.62,0.25216,0.12396,0.11673,0.00241,0.03119,1.40799,0.99827,1,0.995,0.30226,0.99827,1,0.995,0.995,2.50897,0.16165,1.03156,0.04351,0,0.15692,0.0012278,0.0012278,0.0012278
41,2757.05,0.23761,0.11739,0.11206,0.00228,0.02792,1.32646,0.98963,1,0.995,0.29214,0.98963,1,0.995,0.995,2.577,0.16745,0.96777,0.04527,0,0.11261,0.001208,0.001208,0.001208
42,2823.23,0.25128,0.11948,0.10511,0.00237,0.0307,1.67092,1,0.99236,0.995,0.28843,1,0.99236,0.995,0.995,2.58523,0.17034,1.09529,0.04569,0,0.1573,0.0011882,0.0011882,0.0011882
43,2889.88,0.23298,0.12138,0.1017,0.00225,0.02778,1.25701,0.9997,1,0.995,0.27476,0.9997,1,0.995,0.995,2.61234,0.1451,1.09681,0.04623,0,0.11471,0.0011684,0.0011684,0.0011684
44,2956.38,0.23326,0.12045,0.10614,0.00217,0.03095,1.17249,1,0.99898,0.995,0.3085,1,0.99898,0.995,0.995,2.53892,0.17368,1.01571,0.04486,0,0.13216,0.0011486,0.0011486,0.0011486
45,3023.8,0.23158,0.11324,0.10793,0.00225,0.02847,1.20805,0.99832,1,0.995,0.29136,0.99832,1,0.995,0.995,2.55987,0.1685,1.01642,0.04449,0,0.10836,0.0011288,0.0011288,0.0011288
46,3090.52,0.2383,0.12165,0.11147,0.00219,0.02932,1.14279,0.99893,1,0.995,0.28844,0.99893,1,0.995,0.995,2.57481,0.18422,1.03107,0.0451,0,0.09994,0.001109,0.001109,0.001109
47,3157.72,0.21869,0.11702,0.10149,0.00214,0.02807,1.08199,0.9972,1,0.995,0.3043,0.9972,1,0.995,0.995,2.58769,0.16742,1.20446,0.04529,0,0.09297,0.0010892,0.0010892,0.0010892
48,3224.98,0.2281,0.11892,0.11148,0.00223,0.02582,1.16421,1,0.99827,0.995,0.29744,1,0.99827,0.995,0.995,2.58349,0.20814,1.04929,0.04607,0,0.08519,0.0010694,0.0010694,0.0010694
49,3291.2,0.22679,0.11501,0.10414,0.00218,0.03059,1.68803,0.99485,0.96667,0.99312,0.28792,0.99485,0.96667,0.99312,0.99312,2.57441,0.1934,1.0558,0.0457,0,0.1113,0.0010496,0.0010496,0.0010496
50,3357.73,0.22191,0.10929,0.10772,0.00213,0.02728,1.21934,0.99805,1,0.995,0.28455,0.99805,1,0.995,0.995,2.56673,0.16729,1.08865,0.04464,0,0.11944,0.0010298,0.0010298,0.0010298
51,3424.82,0.22861,0.11158,0.10415,0.00219,0.02938,1.29141,1,0.99849,0.995,0.29757,1,0.99849,0.995,0.995,2.52358,0.13967,1.08363,0.04448,0,0.08612,0.00101,0.00101,0.00101
52,3491.56,0.22093,0.11132,0.10039,0.00205,0.03086,1.29516,0.96765,0.99728,0.99403,0.29116,0.96765,0.99728,0.99403,0.99403,2.57886,0.12624,1.28503,0.04499,0,0.06785,0.0009902,0.0009902,0.0009902
53,3558.01,0.22091,0.11089,0.10246,0.00215,0.02951,1.12586,0.98451,1,0.995,0.29615,0.98451,1,0.995,0.995,2.56948,0.14581,1.11263,0.04506,0,0.0951,0.0009704,0.0009704,0.0009704
54,3624.53,0.20445,0.10675,0.09302,0.00187,0.02492,0.98881,0.99777,1,0.995,0.29907,0.99777,1,0.995,0.995,2.54117,0.15854,1.24002,0.04446,0,0.12598,0.0009506,0.0009506,0.0009506
55,3690.74,0.22589,0.11531,0.10524,0.00208,0.0317,1.27591,0.99879,1,0.995,0.2927,0.99879,1,0.995,0.995,2.56621,0.14406,1.04351,0.04508,0,0.07173,0.0009308,0.0009308,0.0009308
